Key,en,es,ar,fr,de,ru,tr,hi,ur,cn,ig-ng
Referral User,Referral User,Usuario de referencia,مستخدم الإحالة,Utilisateur référent,Empfehlungsbenutzer,Реферальный пользователь,Yönlendiren Kullanıcı,रेफरल उपयोगकर्ता,ریفرل صارف,推荐用户,Onye ọrụ ntụnye aka
Requirement,Requirement,Requisito,متطلبات,Exigence,Erfordernis,Требование,Gereklilik,मांग,ضرورت,要求,Ihe achọrọ
Refer,Refer,Referirse,يشير إلى,Référer,Verweisen,Ссылаться,Bahsetmek,संदर्भ देना,رجوع کریں۔,参考,Tụtụ aka
Invest,Invest,Invertir,يستثمر,Investir,Investieren,Вкладывать деньги,Yatırım,निवेश करना,سرمایہ کاری کریں۔,投资,Tinye ego
Commission,Commission,Comisión,عمولة,Commission,Kommission,Комиссия,komisyon,आयोग,کمیشن,委员会,Commission
Per Refer,Per Refer,Por referencia,لكل مرجع,Par référence,Pro Empfehlung,За реферал,Başvuru Başına,प्रति संदर्भ,فی حوالہ,每次推荐,Kwa ntụaka
Account Label,Account Label,Etiqueta de cuenta,تسمية الحساب,Libellé du compte,Kontobezeichnung,Ярлык учетной записи,Hesap Etiketi,खाता लेबल,اکاؤنٹ کا لیبل,账户标签,Akara Akaụntụ
My Status,My Status,Mi estado,حالتي,Mon statut,Mein Status,Мой статус,Durumum,मेरी स्थिति,میری حیثیت,我的状态,Ọnọdụ m
View All,View All,Ver todo,عرض الكل,Tout afficher,Alle ansehen,Посмотреть все,Hepsini gör,सभी को देखें,سب دیکھیں,查看全部,Lelee All
Refer Friend,Refer Friend,Recomendar amigo,إحالة صديق,Parrainer un ami,Empfehlen Sie einen Freund,Пригласи друга,Arkadaşına Tavsiye Et,मित्र का संदर्भ लें,دوست کا حوالہ دیں۔,推荐朋友,Tụgharịa Enyi
Refer Friends,Refer Friends,Recomendar amigos,إحالة الأصدقاء,Parrainer des amis,Empfehlen Sie Freunde,Приглашайте друзей,Arkadaşlara Tavsiye Edin,मित्रों को देखें,دوستوں سے رجوع کریں۔,推荐朋友,Tụgharịa ndị enyi
Copy Referral Code,Copy Referral Code,Copiar código de referencia,انسخ رمز الإحالة,Copier le code de référence,Empfehlungscode kopieren,Скопировать реферальный код,Referans Kodunu Kopyala,रेफरल कोड कॉपी करें,ریفرل کوڈ کاپی کریں۔,复制推荐码,Detuo koodu Ntuziaka
Text Copied To Clipboard,Text Copied To Clipboard,Texto copiado al portapapeles,تم نسخ النص إلى الحافظة,Texte copié dans le presse-papiers,Text in die Zwischenablage kopiert,Текст скопирован в буфер обмена,Metin Panoya Kopyalandı,टेक्स्ट को क्लिपबोर्ड पर कॉपी किया गया,متن کلپ بورڈ پر کاپی ہو گیا۔,文本复制到剪贴板,Eṅomiri ederede gaa na klipbọọdụ
Optionals,Optionals,Opcionales,اختيارية,Options,Optionen,Опции,Opsiyonel,वैकल्पिक,اختیاری,选项,Nhọrọ
Balance Type,Balance Type,Tipo de saldo,نوع الرصيد,Type de solde,Saldentyp,Тип баланса,Bakiye Türü,संतुलन प्रकार,بیلنس کی قسم,天平类型,Ụdị nguzozi
Something went wrong! Please try again,Something went wrong! Please try again,¡Algo salió mal! Por favor inténtalo de nuevo,حدث خطأ ما! يرجى المحاولة مرة أخرى,Quelque chose s'est mal passé ! Veuillez réessayer,Etwas ist schief gelaufen! Bitte versuche es erneut,"Что-то пошло не так! Пожалуйста, попробуйте еще раз",Bir şeyler yanlış gitti! Lütfen tekrar deneyin,कुछ गलत हो गया! कृपया पुन: प्रयास करें,کچھ غلط ہو گیا! دوبارہ کوشش کریں,出了些问题！请再试一次,Ọ nwere ihe adịghị mma! Biko nwaa ọzọ
Security Setting Updated Successfully!,Security Setting Updated Successfully!,¡Configuración de seguridad actualizada exitosamente!,تم تحديث إعداد الأمان بنجاح!,Paramètre de sécurité mis à jour avec succès !,Sicherheitseinstellung erfolgreich aktualisiert!,Настройка безопасности успешно обновлена!,Güvenlik Ayarı Başarıyla Güncellendi!,सुरक्षा सेटिंग सफलतापूर्वक अपडेट की गई!,سیکیورٹی سیٹنگ کو کامیابی کے ساتھ اپ ڈیٹ کر دیا گیا!,安全设置更新成功！,Emelitere ntọala nchekwa nke ọma!
Please verify 2FA,Please verify 2FA,Por favor verifique 2FA,يرجى التحقق من المصادقة الثنائية (2FA).,Veuillez vérifier 2FA,Bitte überprüfen Sie 2FA,"Пожалуйста, подтвердите 2FA",Lütfen 2FA'yı doğrulayın,कृपया 2एफए सत्यापित करें,براہ کرم 2FA کی تصدیق کریں۔,请验证 2FA,Biko gosi na 2FA
Authorize Google Two Factor,Authorize Google Two Factor,Autorizar Google Two Factor,تفويض جوجل اثنين عامل,Autoriser Google Two Factor,Autorisieren Sie Google Two Factor,Авторизовать Google Two Factor,Google Two Factor'ı Yetkilendirin,Google टू फैक्टर को अधिकृत करें,گوگل ٹو فیکٹر کو اختیار دیں۔,授权 Google 两因素,Nye Google ikike ihe abụọ
2FA Authenticaiton,2FA Authenticaiton,Autenticación 2FA,مصادقة 2FA,Authentification 2FA,2FA-Authentifizierung,2FA-аутентификация,2FA Kimlik Doğrulaması,2एफए प्रामाणिकता,2FA توثیق,2FA 身份验证,2FA Authenticaiton
Transactions & Logs,Transactions & Logs,Transacciones y registros,المعاملات والسجلات,Transactions et journaux,Transaktionen und Protokolle,Транзакции и журналы,İşlemler ve Günlükler,लेन-देन और लॉग,لین دین اور لاگز,交易和日志,Azụmahịa & ndekọ
Image Assets,Image Assets,Recursos de imagen,أصول الصورة,Actifs d’image,Bildressourcen,Ресурсы изображений,Resim Varlıkları,छवि संपत्ति,تصویری اثاثے,图像资产,Akụrụngwa onyonyo
Reset,Reset,Reiniciar,إعادة ضبط,Réinitialiser,Zurücksetzen,Перезагрузить,Sıfırla,रीसेट,دوبارہ ترتیب دیں۔,重置,Tọgharia
Enter your account email address or username,Enter your account email address or username,Ingrese la dirección de correo electrónico o el nombre de usuario de su cuenta,أدخل عنوان البريد الإلكتروني الخاص بحسابك أو اسم المستخدم,Entrez l'adresse e-mail ou le nom d'utilisateur de votre compte,Geben Sie die E-Mail-Adresse oder den Benutzernamen Ihres Kontos ein,Введите адрес электронной почты или имя пользователя вашей учетной записи,Hesabınızın e-posta adresini veya kullanıcı adını girin,अपना खाता ईमेल पता या उपयोगकर्ता नाम दर्ज करें,اپنے اکاؤنٹ کا ای میل پتہ یا صارف نام درج کریں۔,输入您的帐户电子邮件地址或用户名,Tinye adreesị email gị ma ọ bụ aha njirimara gị
Username OR Email Address,Username OR Email Address,Nombre de usuario O dirección de correo electrónico,اسم المستخدم أو عنوان البريد الإلكتروني,Nom d'utilisateur OU adresse e-mail,Benutzername oder E-mail Adresse,Имя пользователя ИЛИ адрес электронной почты,Kullanıcı Adı yada Eposta Adresi,उपयोगकर्ता का नाम या ईमेल पता,استعمال کنندہ کا نام یا ای میل پتہ,用户名或邮箱地址,Aha njirimara ma ọ bụ adreesị ozi-e
Enter Username,Enter Username,Ingrese el nombre de usuario,أدخل اسم المستخدم,Entrez le nom d'utilisateur,Geben Sie den Benutzernamen ein,Введите имя пользователя,Kullanıcı adı girin,उपयोगकर्ता नाम दर्ज करें,صارف نام درج کریں۔,输入用户名,Tinye aha njirimara
Password Reset Link sended to your email address.,Password Reset Link sended to your email address.,Enlace de restablecimiento de contraseña enviado a su dirección de correo electrónico.,تم إرسال رابط إعادة تعيين كلمة المرور إلى عنوان بريدك الإلكتروني.,Lien de réinitialisation du mot de passe envoyé à votre adresse e-mail.,Der Link zum Zurücksetzen des Passworts wird an Ihre E-Mail-Adresse gesendet.,Ссылка для сброса пароля отправлена ​​на ваш адрес электронной почты.,Şifre Sıfırlama Bağlantısı e-posta adresinize gönderildi.,पासवर्ड रीसेट लिंक आपके ईमेल पते पर भेज दिया गया है।,پاس ورڈ دوبارہ ترتیب دینے کا لنک آپ کے ای میل ایڈریس پر بھیج دیا گیا۔,密码重置链接已发送到您的电子邮件地址。,Njikọ Tọgharia okwuntughe ezigara na adreesị ozi-e gị.
Successfully updated password. Please login,Successfully updated password. Please login,Contraseña actualizada correctamente. Por favor inicia sesión,تم تحديث كلمة المرور بنجاح. الرجاء تسجيل الدخول,Mot de passe mis à jour avec succès. Veuillez vous connecter,Passwort erfolgreich aktualisiert. Bitte loggen Sie sich ein,"Пароль успешно обновлен. Пожалуйста, войдите",Şifre başarıyla güncellendi. Lütfen giriş yapın,पासवर्ड सफलतापूर्वक अपडेट किया गया. कृपया लॉगिन करें,پاس ورڈ کامیابی سے اپ ڈیٹ ہو گیا۔ برائے مہربانی لاگ ان کریں,密码更新成功。请登录,Emelitere okwuntughe nke ọma. Biko banye
Email send successfully!,Email send successfully!,¡Envío de correo electrónico exitoso!,إرسال البريد الإلكتروني بنجاح!,E-mail envoyé avec succès !,E-Mail erfolgreich versendet!,Электронная почта отправлена ​​успешно!,E-posta başarıyla gönderildi!,ईमेल सफलतापूर्वक भेजा गया!,ای میل کامیابی کے ساتھ بھیجیں!,邮件发送成功！,zipu ozi-e nke ọma!
error,error,error,خطأ,erreur,Fehler,ошибка,hata,गलती,غلطی,错误,mperi
Can,Can,Poder,يستطيع,Peut,Kann,Может,Olabilmek,कर सकना,کر سکتے ہیں۔,能,Nwere ike
) . AdminRoleConst::SUPER_ADMIN . __(,) . AdminRoleConst::SUPER_ADMIN . __(,). AdminRoleConst::SUPER_ADMIN . __(,) . AdminRoleConst::SUPER_ADMIN . __(,) . AdminRoleConst::SUPER_ADMIN . __(,). AdminRoleConst::SUPER_ADMIN . __(,) . AdminRoleConst::SUPER_ADMIN . __(,). AdminRoleConst::SUPER_ADMIN . __(,) . AdminRoleConst::SUPER_ADMIN . __(,) AdminRoleConst::SUPER_ADMIN ۔ __(,）。 AdminRoleConst::SUPER_ADMIN 。 __(,) . AdminRoleConst::SUPER_ADMIN . __(
Oops! Failed to upload image.,Oops! Failed to upload image.,¡Ups! No se pudo cargar la imagen.,أُووبس! فشل تحميل الصورة.,Oups ! Échec du téléchargement de l'image.,Hoppla! Bild konnte nicht hochgeladen werden.,Упс! Не удалось загрузить изображение.,Hata! Resim yüklenemedi.,उफ़! छवि अपलोड करने में विफल.,افوہ! تصویر اپ لوڈ کرنے میں ناکام۔,哎呀！上传图片失败。,Ee! Bulite onyonyo agaghị.
Something went wrong! Please try again.,Something went wrong! Please try again.,¡Algo salió mal! Por favor inténtalo de nuevo.,حدث خطأ ما! يرجى المحاولة مرة أخرى.,Quelque chose s'est mal passé ! Veuillez réessayer.,Etwas ist schief gelaufen! Bitte versuche es erneut.,"Что-то пошло не так! Пожалуйста, попробуйте еще раз.",Bir şeyler yanlış gitti! Lütfen tekrar deneyin.,कुछ गलत हो गया! कृपया पुन: प्रयास करें।,کچھ غلط ہو گیا! دوبارہ کوشش کریں.,出了些问题！请再试一次。,Ọ nwere ihe adịghị mma! Biko nwaa ọzọ.
